"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	32	5229316	0.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	10	5229316	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	49	5229316	0.9
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	54	5229316	1.0
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	31	5229316	0.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	18	5229316	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	331	5229316	6.3
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	43	5173553	0.8
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	15	5173553	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	11	5173553	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	102	5173553	2.0
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	57	5173553	1.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	57	5173553	1.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	33	5173553	0.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	13	5173553	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	626	5173553	12.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	28	1536075	1.8
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	37	1536075	2.4
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	131	1536075	8.5
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	27	1536075	1.8
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	101	1536075	6.6
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	45	1536075	2.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	13	1536075	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	588	1536075	38.3
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	29	1252377	2.3
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	49	1252377	3.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	18	1252377	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	126	1252377	10.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	45	1252377	3.6
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	122	1252377	9.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	38	1252377	3.0
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	23	1252377	1.8
	"Alabama"	"01"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	692	1252377	55.3
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	48	4803573	1.0
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	34	4803573	0.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	15	4803573	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	118	4803573	2.5
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with coma"	"E14.0"	11	4803573	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	70	4803573	1.5
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	99	4803573	2.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	35	4803573	0.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	11	4803573	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	702	4803573	14.6
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	11	4530816	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	13	4530816	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	87	4530816	1.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	33	4530816	0.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	16	4530816	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	224	4530816	4.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with coma"	"E14.0"	16	4530816	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	75	4530816	1.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	96	4530816	2.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	58	4530816	1.3
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	17	4530816	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	1173	4530816	25.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	50	949135	5.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	72	949135	7.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	16	949135	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	21	949135	2.2
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	181	949135	19.1
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	17	949135	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	143	949135	15.1
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	57	949135	6.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	25	949135	2.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	762	949135	80.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	33	697832	4.7
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	49	697832	7.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	21	697832	3.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	160	697832	22.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	22	697832	3.2
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	124	697832	17.8
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	80	697832	11.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	26	697832	3.7
	"Alabama"	"01"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	731	697832	104.8
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	91	3639881	2.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	74	3639881	2.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	24	3639881	0.7
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	291	3639881	8.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	48	3639881	1.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	127	3639881	3.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	63	3639881	1.7
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	21	3639881	0.6
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"Unspecified diabetes mellitus, without complications"	"E14.9"	978	3639881	26.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	13	3156434	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	13	3156434	Unreliable
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	96	3156434	3.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	88	3156434	2.8
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	44	3156434	1.4
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	21	3156434	0.7
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	343	3156434	10.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	41	3156434	1.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	186	3156434	5.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	108	3156434	3.4
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	25	3156434	0.8
	"Alabama"	"01"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"Unspecified diabetes mellitus, without complications"	"E14.9"	1478	3156434	46.8
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	60	539579	11.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	73	539579	13.5
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	37	539579	6.9
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	12	539579	Unreliable
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	259	539579	48.0
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	26	539579	4.8
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	119	539579	22.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	79	539579	14.6
	"Alabama"	"01"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	18	539579	Unreliable
