"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Hawaii"	"15"	203	1211537	16.8
	"2000"	"2000"	"Idaho"	"16"	304	1293953	23.5
	"2000"	"2000"	"Illinois"	"17"	2995	12419293	24.1
	"2000"	"2000"	"Indiana"	"18"	1673	6080485	27.5
	"2000"	"2000"	"Iowa"	"19"	630	2926324	21.5
	"2000"	"2000"	"Kansas"	"20"	668	2688418	24.8
	"2000"	"2000"	"Kentucky"	"21"	1107	4041769	27.4
	"2000"	"2000"	"Louisiana"	"22"	1694	4468976	37.9
	"2000"	"2000"	"Maine"	"23"	357	1274923	28.0
	"2000"	"2000"	"Maryland"	"24"	1515	5296486	28.6
	"2000"	"2000"	"Massachusetts"	"25"	1361	6349097	21.4
	"2000"	"2000"	"Michigan"	"26"	2603	9938444	26.2
	"2000"	"2000"	"Minnesota"	"27"	1209	4919479	24.6
	"2000"	"2000"	"Mississippi"	"28"	676	2844658	23.8
	"2000"	"2000"	"Missouri"	"29"	1458	5595211	26.1
	"2000"	"2000"	"Montana"	"30"	227	902195	25.2
	"2000"	"2000"	"Nebraska"	"31"	411	1711263	24.0
	"2000"	"2000"	"Nevada"	"32"	276	1998257	13.8
	"2000"	"2000"	"New Hampshire"	"33"	297	1235786	24.0
	"2000"	"2000"	"New Jersey"	"34"	2483	8414350	29.5
	"2000"	"2000"	"New Mexico"	"35"	485	1819046	26.7
	"2000"	"2000"	"New York"	"36"	3877	18976457	20.4
	"2000"	"2000"	"North Carolina"	"37"	2084	8049313	25.9
	"2000"	"2000"	"North Dakota"	"38"	203	642200	31.6
	"2000"	"2000"	"Ohio"	"39"	3691	11353140	32.5
	"2000"	"2000"	"Oklahoma"	"40"	978	3450654	28.3
	"2000"	"2000"	"Oregon"	"41"	844	3421399	24.7
	"2000"	"2000"	"Pennsylvania"	"42"	3794	12281054	30.9
	"2000"	"2000"	"Rhode Island"	"44"	292	1048319	27.9
	"2000"	"2000"	"South Carolina"	"45"	1206	4012012	30.1
	"2000"	"2000"	"South Dakota"	"46"	180	754844	23.8
	"2000"	"2000"	"Tennessee"	"47"	1591	5689283	28.0
	"2000"	"2000"	"Texas"	"48"	5196	20851820	24.9
	"2000"	"2000"	"Utah"	"49"	530	2233169	23.7
	"2000"	"2000"	"Vermont"	"50"	163	608827	26.8
	"2000"	"2000"	"Virginia"	"51"	1564	7078515	22.1
	"2000"	"2000"	"Washington"	"53"	1331	5894121	22.6
	"2000"	"2000"	"West Virginia"	"54"	759	1808344	42.0
	"2000"	"2000"	"Wisconsin"	"55"	1309	5363675	24.4
	"2000"	"2000"	"Wyoming"	"56"	111	493782	22.5
	"2001"	"2001"	"Alabama"	"01"	1344	4467634	30.1
	"2001"	"2001"	"Alaska"	"02"	80	633714	12.6
	"2001"	"2001"	"Arizona"	"04"	1058	5273477	20.1
	"2001"	"2001"	"Arkansas"	"05"	756	2691571	28.1
	"2001"	"2001"	"California"	"06"	6395	34479458	18.5
	"2001"	"2001"	"Colorado"	"08"	667	4425687	15.1
	"2001"	"2001"	"Connecticut"	"09"	759	3432835	22.1
	"2001"	"2001"	"Delaware"	"10"	218	795699	27.4
	"2001"	"2001"	"District of Columbia"	"11"	209	574504	36.4
	"2001"	"2001"	"Florida"	"12"	4631	16356966	28.3
	"2001"	"2001"	"Georgia"	"13"	1475	8377038	17.6
	"2001"	"2001"	"Hawaii"	"15"	173	1225948	14.1
	"2001"	"2001"	"Idaho"	"16"	318	1319962	24.1
	"2001"	"2001"	"Illinois"	"17"	3092	12488445	24.8
	"2001"	"2001"	"Indiana"	"18"	1677	6127760	27.4
	"2001"	"2001"	"Iowa"	"19"	709	2931997	24.2
	"2001"	"2001"	"Kansas"	"20"	721	2702162	26.7
	"2001"	"2001"	"Kentucky"	"21"	1099	4068132	27.0
	"2001"	"2001"	"Louisiana"	"22"	1734	4477875	38.7
	"2001"	"2001"	"Maine"	"23"	398	1285692	31.0
	"2001"	"2001"	"Maryland"	"24"	1458	5374691	27.1
	"2001"	"2001"	"Massachusetts"	"25"	1422	6397634	22.2
	"2001"	"2001"	"Michigan"	"26"	2655	9991120	26.6
	"2001"	"2001"	"Minnesota"	"27"	1213	4982796	24.3
	"2001"	"2001"	"Mississippi"	"28"	661	2852994	23.2
	"2001"	"2001"	"Missouri"	"29"	1535	5641142	27.2
	"2001"	"2001"	"Montana"	"30"	229	906961	25.2
	"2001"	"2001"	"Nebraska"	"31"	400	1719836	23.3
	"2001"	"2001"	"Nevada"	"32"	322	2098399	15.3
	"2001"	"2001"	"New Hampshire"	"33"	291	1255517	23.2
	"2001"	"2001"	"New Jersey"	"34"	2556	8492671	30.1
	"2001"	"2001"	"New Mexico"	"35"	538	1831690	29.4
	"2001"	"2001"	"New York"	"36"	3844	19082838	20.1
	"2001"	"2001"	"North Carolina"	"37"	2181	8210122	26.6
	"2001"	"2001"	"North Dakota"	"38"	196	639062	30.7
	"2001"	"2001"	"Ohio"	"39"	3750	11387404	32.9
	"2001"	"2001"	"Oklahoma"	"40"	1065	3467100	30.7
	"2001"	"2001"	"Oregon"	"41"	1011	3467937	29.2
	"2001"	"2001"	"Pennsylvania"	"42"	3826	12298970	31.1
	"2001"	"2001"	"Rhode Island"	"44"	265	1057142	25.1
	"2001"	"2001"	"South Carolina"	"45"	1088	4064995	26.8
	"2001"	"2001"	"South Dakota"	"46"	212	757972	28.0
	"2001"	"2001"	"Tennessee"	"47"	1746	5750789	30.4
	"2001"	"2001"	"Texas"	"48"	5456	21319622	25.6
	"2001"	"2001"	"Utah"	"49"	509	2283715	22.3
	"2001"	"2001"	"Vermont"	"50"	155	612223	25.3
	"2001"	"2001"	"Virginia"	"51"	1613	7198362	22.4
	"2001"	"2001"	"Washington"	"53"	1403	5985722	23.4
	"2001"	"2001"	"West Virginia"	"54"	802	1801481	44.5
	"2001"	"2001"	"Wisconsin"	"55"	1337	5406835	24.7
	"2001"	"2001"	"Wyoming"	"56"	120	494657	24.3
	"2002"	"2002"	"Alabama"	"01"	1486	4480089	33.2
	"2002"	"2002"	"Alaska"	"02"	86	642337	13.4
	"2002"	"2002"	"Arizona"	"04"	1231	5396255	22.8
	"2002"	"2002"	"Arkansas"	"05"	793	2705927	29.3
	"2002"	"2002"	"California"	"06"	6807	34871843	19.5
	"2002"	"2002"	"Colorado"	"08"	659	4490406	14.7
	"2002"	"2002"	"Connecticut"	"09"	675	3458749	19.5
	"2002"	"2002"	"Delaware"	"10"	215	806169	26.7
	"2002"	"2002"	"District of Columbia"	"11"	191	573158	33.3
	"2002"	"2002"	"Florida"	"12"	4583	16689370	27.5
	"2002"	"2002"	"Georgia"	"13"	1576	8508256	18.5
	"2002"	"2002"	"Hawaii"	"15"	204	1239613	16.5
	"2002"	"2002"	"Idaho"	"16"	322	1340372	24.0
	"2002"	"2002"	"Illinois"	"17"	3011	12525556	24.0
	"2002"	"2002"	"Indiana"	"18"	1688	6155967	27.4
	"2002"	"2002"	"Iowa"	"19"	734	2934234	25.0
	"2002"	"2002"	"Kansas"	"20"	765	2713535	28.2
	"2002"	"2002"	"Kentucky"	"21"	1265	4089875	30.9
	"2002"	"2002"	"Louisiana"	"22"	1774	4497267	39.4
	"2002"	"2002"	"Maine"	"23"	404	1295960	31.2
	"2002"	"2002"	"Maryland"	"24"	1519	5440389	27.9
	"2002"	"2002"	"Massachusetts"	"25"	1423	6417206	22.2
	"2002"	"2002"	"Michigan"	"26"	2785	10015710	27.8
	"2002"	"2002"	"Minnesota"	"27"	1317	5018935	26.2
	"2002"	"2002"	"Mississippi"	"28"	671	2858681	23.5
	"2002"	"2002"	"Missouri"	"29"	1625	5674825	28.6
	"2002"	"2002"	"Montana"	"30"	210	911667	23.0
	"2002"	"2002"	"Nebraska"	"31"	393	1728292	22.7
	"2002"	"2002"	"Nevada"	"32"	343	2173791	15.8
	"2002"	"2002"	"New Hampshire"	"33"	311	1269089	24.5
	"2002"	"2002"	"New Jersey"	"34"	2532	8552643	29.6
	"2002"	"2002"	"New Mexico"	"35"	582	1855309	31.4
	"2002"	"2002"	"New York"	"36"	3934	19137800	20.6
	"2002"	"2002"	"North Carolina"	"37"	2205	8326201	26.5
	"2002"	"2002"	"North Dakota"	"38"	214	638168	33.5
	"2002"	"2002"	"Ohio"	"39"	3846	11407889	33.7
	"2002"	"2002"	"Oklahoma"	"40"	1064	3489080	30.5
	"2002"	"2002"	"Oregon"	"41"	1041	3513424	29.6
	"2002"	"2002"	"Pennsylvania"	"42"	3708	12331031	30.1
	"2002"	"2002"	"Rhode Island"	"44"	263	1065995	24.7
	"2002"	"2002"	"South Carolina"	"45"	1112	4107795	27.1
	"2002"	"2002"	"South Dakota"	"46"	195	760020	25.7
	"2002"	"2002"	"Tennessee"	"47"	1749	5795918	30.2
	"2002"	"2002"	"Texas"	"48"	5654	21690325	26.1
	"2002"	"2002"	"Utah"	"49"	514	2324815	22.1
	"2002"	"2002"	"Vermont"	"50"	174	615442	28.3
	"2002"	"2002"	"Virginia"	"51"	1558	7286873	21.4
	"2002"	"2002"	"Washington"	"53"	1494	6052349	24.7
	"2002"	"2002"	"West Virginia"	"54"	846	1805414	46.9
	"2002"	"2002"	"Wisconsin"	"55"	1353	5445162	24.8
	"2002"	"2002"	"Wyoming"	"56"	145	500017	29.0
	"2003"	"2003"	"Alabama"	"01"	1414	4503491	31.4
	"2003"	"2003"	"Alaska"	"02"	102	648414	15.7
	"2003"	"2003"	"Arizona"	"04"	1153	5510364	20.9
	"2003"	"2003"	"Arkansas"	"05"	884	2724816	32.4
	"2003"	"2003"	"California"	"06"	7093	35253159	20.1
	"2003"	"2003"	"Colorado"	"08"	708	4528732	15.6
	"2003"	"2003"	"Connecticut"	"09"	665	3484336	19.1
	"2003"	"2003"	"Delaware"	"10"	239	818003	29.2
	"2003"	"2003"	"District of Columbia"	"11"	179	568502	31.5
	"2003"	"2003"	"Florida"	"12"	4762	17004085	28.0
	"2003"	"2003"	"Georgia"	"13"	1717	8622793	19.9
	"2003"	"2003"	"Hawaii"	"15"	202	1251154	16.1
	"2003"	"2003"	"Idaho"	"16"	358	1363380	26.3
	"2003"	"2003"	"Illinois"	"17"	3044	12556006	24.2
	"2003"	"2003"	"Indiana"	"18"	1731	6196638	27.9
	"2003"	"2003"	"Iowa"	"19"	727	2941999	24.7
	"2003"	"2003"	"Kansas"	"20"	676	2723004	24.8
	"2003"	"2003"	"Kentucky"	"21"	1296	4117170	31.5
	"2003"	"2003"	"Louisiana"	"22"	1740	4521042	38.5
	"2003"	"2003"	"Maine"	"23"	398	1306513	30.5
	"2003"	"2003"	"Maryland"	"24"	1454	5496269	26.5
	"2003"	"2003"	"Massachusetts"	"25"	1424	6422565	22.2
	"2003"	"2003"	"Michigan"	"26"	2640	10041152	26.3
	"2003"	"2003"	"Minnesota"	"27"	1276	5053572	25.2
	"2003"	"2003"	"Mississippi"	"28"	680	2868312	23.7
	"2003"	"2003"	"Missouri"	"29"	1666	5709403	29.2
	"2003"	"2003"	"Montana"	"30"	261	919630	28.4
	"2003"	"2003"	"Nebraska"	"31"	407	1738643	23.4
	"2003"	"2003"	"Nevada"	"32"	301	2248850	13.4
	"2003"	"2003"	"New Hampshire"	"33"	300	1279840	23.4
	"2003"	"2003"	"New Jersey"	"34"	2484	8601402	28.9
	"2003"	"2003"	"New Mexico"	"35"	599	1877574	31.9
	"2003"	"2003"	"New York"	"36"	4227	19175939	22.0
	"2003"	"2003"	"North Carolina"	"37"	2388	8422501	28.4
	"2003"	"2003"	"North Dakota"	"38"	211	638817	33.0
	"2003"	"2003"	"Ohio"	"39"	3731	11434788	32.6
	"2003"	"2003"	"Oklahoma"	"40"	1104	3504892	31.5
	"2003"	"2003"	"Oregon"	"41"	1032	3547376	29.1
	"2003"	"2003"	"Pennsylvania"	"42"	3732	12374658	30.2
	"2003"	"2003"	"Rhode Island"	"44"	252	1071342	23.5
	"2003"	"2003"	"South Carolina"	"45"	1161	4150297	28.0
	"2003"	"2003"	"South Dakota"	"46"	203	763729	26.6
	"2003"	"2003"	"Tennessee"	"47"	1855	5847812	31.7
	"2003"	"2003"	"Texas"	"48"	5668	22030931	25.7
	"2003"	"2003"	"Utah"	"49"	520	2360137	22.0
	"2003"	"2003"	"Vermont"	"50"	183	617858	29.6
	"2003"	"2003"	"Virginia"	"51"	1587	7366977	21.5
	"2003"	"2003"	"Washington"	"53"	1509	6104115	24.7
	"2003"	"2003"	"West Virginia"	"54"	807	1812295	44.5
	"2003"	"2003"	"Wisconsin"	"55"	1331	5479203	24.3
	"2003"	"2003"	"Wyoming"	"56"	138	503453	27.4
	"2004"	"2004"	"Alabama"	"01"	1449	4530729	32.0
	"2004"	"2004"	"Alaska"	"02"	93	659286	14.1
	"2004"	"2004"	"Arizona"	"04"	1196	5652404	21.2
	"2004"	"2004"	"Arkansas"	"05"	838	2749686	30.5
	"2004"	"2004"	"California"	"06"	7117	35574576	20.0
	"2004"	"2004"	"Colorado"	"08"	696	4575013	15.2
	"2004"	"2004"	"Connecticut"	"09"	767	3496094	21.9
	"2004"	"2004"	"Delaware"	"10"	210	830803	25.3
	"2004"	"2004"	"District of Columbia"	"11"	224	567754	39.5
	"2004"	"2004"	"Florida"	"12"	4809	17415318	27.6
	"2004"	"2004"	"Georgia"	"13"	1623	8769252	18.5
	"2004"	"2004"	"Hawaii"	"15"	194	1273569	15.2
	"2004"	"2004"	"Idaho"	"16"	344	1391802	24.7
	"2004"	"2004"	"Illinois"	"17"	3069	12589773	24.4
	"2004"	"2004"	"Indiana"	"18"	1673	6233007	26.8
	"2004"	"2004"	"Iowa"	"19"	700	2953635	23.7
	"2004"	"2004"	"Kansas"	"20"	690	2734373	25.2
	"2004"	"2004"	"Kentucky"	"21"	1195	4146101	28.8
	"2004"	"2004"	"Louisiana"	"22"	1717	4552238	37.7
	"2004"	"2004"	"Maine"	"23"	382	1313688	29.1
	"2004"	"2004"	"Maryland"	"24"	1417	5546935	25.5
	"2004"	"2004"	"Massachusetts"	"25"	1329	6412281	20.7
	"2004"	"2004"	"Michigan"	"26"	2953	10055315	29.4
	"2004"	"2004"	"Minnesota"	"27"	1130	5087713	22.2
	"2004"	"2004"	"Mississippi"	"28"	665	2889010	23.0
	"2004"	"2004"	"Missouri"	"29"	1461	5747741	25.4
	"2004"	"2004"	"Montana"	"30"	237	930009	25.5
	"2004"	"2004"	"Nebraska"	"31"	395	1749370	22.6
	"2004"	"2004"	"Nevada"	"32"	290	2346222	12.4
	"2004"	"2004"	"New Hampshire"	"33"	313	1290121	24.3
	"2004"	"2004"	"New Jersey"	"34"	2595	8634561	30.1
	"2004"	"2004"	"New Mexico"	"35"	590	1903808	31.0
	"2004"	"2004"	"New York"	"36"	3913	19171567	20.4
	"2004"	"2004"	"North Carolina"	"37"	2253	8553152	26.3
	"2004"	"2004"	"North Dakota"	"38"	209	644705	32.4
	"2004"	"2004"	"Ohio"	"39"	3615	11452251	31.6
	"2004"	"2004"	"Oklahoma"	"40"	1139	3525233	32.3
	"2004"	"2004"	"Oregon"	"41"	1073	3569463	30.1
	"2004"	"2004"	"Pennsylvania"	"42"	3579	12410722	28.8
	"2004"	"2004"	"Rhode Island"	"44"	280	1074579	26.1
	"2004"	"2004"	"South Carolina"	"45"	1165	4210921	27.7
	"2004"	"2004"	"South Dakota"	"46"	229	770396	29.7
	"2004"	"2004"	"Tennessee"	"47"	1882	5910809	31.8
	"2004"	"2004"	"Texas"	"48"	5435	22394023	24.3
	"2004"	"2004"	"Utah"	"49"	485	2401580	20.2
	"2004"	"2004"	"Vermont"	"50"	150	619920	24.2
	"2004"	"2004"	"Virginia"	"51"	1602	7475575	21.4
	"2004"	"2004"	"Washington"	"53"	1508	6178645	24.4
	"2004"	"2004"	"West Virginia"	"54"	840	1816438	46.2
	"2004"	"2004"	"Wisconsin"	"55"	1310	5514026	23.8
	"2004"	"2004"	"Wyoming"	"56"	110	509106	21.6
	"2005"	"2005"	"Alabama"	"01"	1429	4569805	31.3
	"2005"	"2005"	"Alaska"	"02"	93	666946	13.9
	"2005"	"2005"	"Arizona"	"04"	1208	5839077	20.7
	"2005"	"2005"	"Arkansas"	"05"	824	2781097	29.6
	"2005"	"2005"	"California"	"06"	7697	35827943	21.5
	"2005"	"2005"	"Colorado"	"08"	753	4631888	16.3
	"2005"	"2005"	"Connecticut"	"09"	811	3506956	23.1
	"2005"	"2005"	"Delaware"	"10"	233	845150	27.6
	"2005"	"2005"	"District of Columbia"	"11"	192	567136	33.9
	"2005"	"2005"	"Florida"	"12"	5193	17842038	29.1
	"2005"	"2005"	"Georgia"	"13"	1742	8925922	19.5
	"2005"	"2005"	"Hawaii"	"15"	218	1292729	16.9
	"2005"	"2005"	"Idaho"	"16"	299	1428241	20.9
	"2005"	"2005"	"Illinois"	"17"	3034	12609903	24.1
	"2005"	"2005"	"Indiana"	"18"	1719	6278616	27.4
	"2005"	"2005"	"Iowa"	"19"	727	2964454	24.5
	"2005"	"2005"	"Kansas"	"20"	710	2745299	25.9
	"2005"	"2005"	"Kentucky"	"21"	1187	4182742	28.4
	"2005"	"2005"	"Louisiana"	"22"	1695	4576628	37.0
	"2005"	"2005"	"Maine"	"23"	385	1318787	29.2
	"2005"	"2005"	"Maryland"	"24"	1388	5592379	24.8
	"2005"	"2005"	"Massachusetts"	"25"	1271	6403290	19.8
	"2005"	"2005"	"Michigan"	"26"	2842	10051137	28.3
	"2005"	"2005"	"Minnesota"	"27"	1258	5119598	24.6
	"2005"	"2005"	"Mississippi"	"28"	677	2905943	23.3
	"2005"	"2005"	"Missouri"	"29"	1549	5790300	26.8
	"2005"	"2005"	"Montana"	"30"	285	940102	30.3
	"2005"	"2005"	"Nebraska"	"31"	449	1761497	25.5
	"2005"	"2005"	"Nevada"	"32"	336	2432143	13.8
	"2005"	"2005"	"New Hampshire"	"33"	310	1298492	23.9
	"2005"	"2005"	"New Jersey"	"34"	2540	8651974	29.4
	"2005"	"2005"	"New Mexico"	"35"	595	1932274	30.8
	"2005"	"2005"	"New York"	"36"	4051	19132610	21.2
	"2005"	"2005"	"North Carolina"	"37"	2261	8705407	26.0
	"2005"	"2005"	"North Dakota"	"38"	204	646089	31.6
	"2005"	"2005"	"Ohio"	"39"	3794	11463320	33.1
	"2005"	"2005"	"Oklahoma"	"40"	1217	3548597	34.3
	"2005"	"2005"	"Oregon"	"41"	1149	3613202	31.8
	"2005"	"2005"	"Pennsylvania"	"42"	3553	12449990	28.5
	"2005"	"2005"	"Rhode Island"	"44"	282	1067916	26.4
	"2005"	"2005"	"South Carolina"	"45"	1187	4270150	27.8
	"2005"	"2005"	"South Dakota"	"46"	241	775493	31.1
	"2005"	"2005"	"Tennessee"	"47"	1844	5991057	30.8
	"2005"	"2005"	"Texas"	"48"	5605	22778123	24.6
	"2005"	"2005"	"Utah"	"49"	541	2457719	22.0
	"2005"	"2005"	"Vermont"	"50"	173	621215	27.8
	"2005"	"2005"	"Virginia"	"51"	1642	7577105	21.7
	"2005"	"2005"	"Washington"	"53"	1554	6257305	24.8
	"2005"	"2005"	"West Virginia"	"54"	766	1820492	42.1
	"2005"	"2005"	"Wisconsin"	"55"	1276	5546166	23.0
	"2005"	"2005"	"Wyoming"	"56"	130	514157	25.3
	"2006"	"2006"	"Alabama"	"01"	1453	4628981	31.4
	"2006"	"2006"	"Alaska"	"02"	109	675302	16.1
	"2006"	"2006"	"Arizona"	"04"	1206	6029141	20.0
	"2006"	"2006"	"Arkansas"	"05"	839	2821761	29.7
	"2006"	"2006"	"California"	"06"	7376	36021202	20.5
	"2006"	"2006"	"Colorado"	"08"	677	4720423	14.3
	"2006"	"2006"	"Connecticut"	"09"	782	3517460	22.2
	"2006"	"2006"	"Delaware"	"10"	191	859268	22.2
	"2006"	"2006"	"District of Columbia"	"11"	184	570681	32.2
	"2006"	"2006"	"Florida"	"12"	5172	18166990	28.5
	"2006"	"2006"	"Georgia"	"13"	1657	9155813	18.1
	"2006"	"2006"	"Hawaii"	"15"	271	1309731	20.7
	"2006"	"2006"	"Idaho"	"16"	320	1468669	21.8
	"2006"	"2006"	"Illinois"	"17"	2795	12643955	22.1
	"2006"	"2006"	"Indiana"	"18"	1682	6332669	26.6
	"2006"	"2006"	"Iowa"	"19"	804	2982644	27.0
	"2006"	"2006"	"Kansas"	"20"	749	2762931	27.1
	"2006"	"2006"	"Kentucky"	"21"	1141	4219239	27.0
	"2006"	"2006"	"Louisiana"	"22"	1536	4302665	35.7
	"2006"	"2006"	"Maine"	"23"	343	1323619	25.9
	"2006"	"2006"	"Maryland"	"24"	1237	5627367	22.0
	"2006"	"2006"	"Massachusetts"	"25"	1132	6410084	17.7
	"2006"	"2006"	"Michigan"	"26"	2830	10036081	28.2
	"2006"	"2006"	"Minnesota"	"27"	1158	5163555	22.4
	"2006"	"2006"	"Mississippi"	"28"	707	2904978	24.3
	"2006"	"2006"	"Missouri"	"29"	1493	5842704	25.6
	"2006"	"2006"	"Montana"	"30"	249	952692	26.1
	"2006"	"2006"	"Nebraska"	"31"	437	1772693	24.7
	"2006"	"2006"	"Nevada"	"32"	294	2522658	11.7
	"2006"	"2006"	"New Hampshire"	"33"	296	1308389	22.6
	"2006"	"2006"	"New Jersey"	"34"	2454	8661679	28.3
	"2006"	"2006"	"New Mexico"	"35"	606	1962137	30.9
	"2006"	"2006"	"New York"	"36"	3848	19104631	20.1
	"2006"	"2006"	"North Carolina"	"37"	2234	8917270	25.1
	"2006"	"2006"	"North Dakota"	"38"	208	649422	32.0
	"2006"	"2006"	"Ohio"	"39"	3761	11481213	32.8
	"2006"	"2006"	"Oklahoma"	"40"	1166	3594090	32.4
	"2006"	"2006"	"Oregon"	"41"	1139	3670883	31.0
	"2006"	"2006"	"Pennsylvania"	"42"	3466	12510809	27.7
	"2006"	"2006"	"Rhode Island"	"44"	206	1063096	19.4
	"2006"	"2006"	"South Carolina"	"45"	1136	4357847	26.1
	"2006"	"2006"	"South Dakota"	"46"	262	783033	33.5
	"2006"	"2006"	"Tennessee"	"47"	1715	6088766	28.2
	"2006"	"2006"	"Texas"	"48"	5201	23359580	22.3
	"2006"	"2006"	"Utah"	"49"	496	2525507	19.6
	"2006"	"2006"	"Vermont"	"50"	175	622892	28.1
	"2006"	"2006"	"Virginia"	"51"	1632	7673725	21.3
	"2006"	"2006"	"Washington"	"53"	1543	6370753	24.2
	"2006"	"2006"	"West Virginia"	"54"	743	1827912	40.6
	"2006"	"2006"	"Wisconsin"	"55"	1212	5577655	21.7
	"2006"	"2006"	"Wyoming"	"56"	126	522667	24.1
	"2007"	"2007"	"Alabama"	"01"	1313	4672840	28.1
	"2007"	"2007"	"Alaska"	"02"	105	680300	15.4
	"2007"	"2007"	"Arizona"	"04"	1159	6167681	18.8
	"2007"	"2007"	"Arkansas"	"05"	838	2848650	29.4
	"2007"	"2007"	"California"	"06"	7413	36250311	20.4
	"2007"	"2007"	"Colorado"	"08"	710	4803868	14.8
	"2007"	"2007"	"Connecticut"	"09"	646	3527270	18.3
	"2007"	"2007"	"Delaware"	"10"	223	871749	25.6
	"2007"	"2007"	"District of Columbia"	"11"	152	574404	26.5
	"2007"	"2007"	"Florida"	"12"	5110	18367842	27.8
	"2007"	"2007"	"Georgia"	"13"	1604	9349988	17.2
	"2007"	"2007"	"Hawaii"	"15"	291	1315675	22.1
	"2007"	"2007"	"Idaho"	"16"	331	1505105	22.0
	"2007"	"2007"	"Illinois"	"17"	2851	12695866	22.5
	"2007"	"2007"	"Indiana"	"18"	1564	6379599	24.5
	"2007"	"2007"	"Iowa"	"19"	767	2999212	25.6
